City,Name of Clinic,Clinic Address,Dr Name ,Contact Number,E-mail Address,Status,,,,,,,,,,,,,
Bangalore,Advanced Dental Care Centre,"#13, 6th c cross sai ram layout, Major Sandeep Unnikrishnan Road, Sattur, Yelahanka, Bangalore 560064",Dr karthikeyan BV,"9449545157, 08029720737",advanceddentalcarecentre2006@gmail.com,Completed,,,,,,,,,,,,,
Bangalore,Aesthalign Dentaa care,"#3226, OPP. JUS’  TRUFS,  7 th BLOCK ,  ARKAVATHI LAYOUT, K V JAYRAM ROAD, JAKKUR, BANGALORE - 560064 (KARNATAKA).",Dr Rashmi B M,9886381020/9739633960,contact@dentaacare.com,Completed,,,,,,,,,,,,,
Bangalore,Asha Dental Clinic,"#438, 5th Cross Road,Viveknagar, Bangalore - 560047", Dr Andrews Abraham /Dr Asha Daniel,9342866610 /9481573590,andrewsabraham@gmail.com,Completed,,,,,,,,,,,,,
Bangalore,Bangalore nursing home,"No 276,nagawara main road, next to kg halli police station, Bangalore 560045",Dr firdos pakeeza,9972316456 / 9535271129,drfpakeeza@gmail.com,Completed,,,,,,,,,,,,,
Bangalore,Breath & Bite Preventive Holistic Dentistry,"2nd Floor, 14th Main Road, 4th Cross Rd, Jakkasandra, HSR Layout, 5th Sector, Bengaluru -34",Dr Shruthi,9880293819,breath.bite.dental@gmail.com,Completed,,,,,,,,,,,,,
Bangalore,Credence Dental ,"No 1132, 1st floor, Jawaharlal Nehru Rd, BEML Layout 3rd Stage, RR Nagar, Bengaluru, Karnataka 560098  ",Dr Pavan TP ,9141160212, contact@credencedental.com,Completed,,,,,,,,,,,,,
Bangalore,Dental Roots Root Canal and Implant Center,"1050/A ,1st floor New Thippasandra Main road, Near Vishal Mart  Indira Nagar Bangalore",Dr Anju Thomas,9741835002,dentalrootsclinics@gmail.com,,,,,,,,,,,,,,
Bangalore,Dental Surgery,Dental Surgery 307w Sunrise Chambers 22 Ulsoor Road Bangalore 560042,Dr Raphael Parambi,8025597417,raphael.parambi9@gmail.com,Completed,,,,,,,,,,,,,
Bangalore,Dent-O-Care dental clinic,"#3,1st Floor,Sri Veeranjaneya complex,78/5,Above MRP shop,Bellandur main road,Bellandur,Bangalore-560103",Dr Josin V Jose and Dr Neethu Raj,9663661131,josin8030@gmail.com,Completed,,,,,,,,,,,,,
Bangalore,Dr Dhruv Dental Care,"1st main road, HAL 2nd stage, Defence Colony, Indira Nagar, Bengaluru",Dr Dhruv Subramanian,080 25205555,care@drdhruv.com,Completed,,,,,,,,,,,,,
Bangalore,FAB dental clinic,"No E,37/1 1st floor80 ft road,KHB colony Basaveshwara Nagar,Bangalore",Dr Prashanth,6363939739,drprash83@gmail.com,Completed,,,,,,,,,,,,,
Bangalore,Faith Dental Studio,"#194, opp to family mall, first floor Janatha Colony Muthsandra Main Road , Bangalore-560087",Dr.Jesu Jennifer Joys,8123613949,thefaithdentalstudio@gmail.com,Completed,,,,,,,,,,,,,
Bangalore,Harsha Dental - HBR Layout,"No. 14, 21st cross, 5th block, HBR layout, bengaluru - 560043",Dr. R. Harsha Vardhan MDS,9864696558,harshadental32@gmail.com,Completed,,,,,,,,,,,,,
Bangalore,Impressive smile multispeciality Dental clinic,"GRS complex,HSR layout,Sec-2, Parangipalya main road,Bangalore-560102",Dr Madhulika Singh,9980020321,impressivesmilemultispeciality@gmail.com,Completed,,,,,,,,,,,,,
Bangalore,INFODENT DENTAL CLINIC,"V.G.S.COMPLEX, NEXT TO SEASONS RESTAURANT ELECTRONIC CITY PHASE2 BANGALORE 56010",DR.M.S.KIRANKUMAR,7411618108,mskirankumar@yahoo.co.in,Completed,,,,,,,,,,,,,
Bangalore,Jade Dental Care,"#80 Ranganatha Layout, Mahadevpura, Bengaluru 560048",Dr Ammora,95387 88886,contact@jadedentalcare.in,Completed,,,,,,,,,,,,,
Bangalore,KP Dental Clinic,"#28, 34th Cross, 9th Main Road , Yarabnagar, Banashankari 2 nd Stage , Bangalore-560070",Dr Syed Shahid KP,"9972871780, 9663606636, 080-26716801",drshahidbakshi@gmail.com,,,,,,,,,,,,,,
Bangalore,Likhitha dental clinic,"Likhitha dental clinic #13/5 opp om timber, PWD main, near Vishal mart, nelagedranahalli, nagsandra post, Banglore -73",Dr Swetha,97429 03369,swetha4kolar@gmail.com,Completed,,,,,,,,,,,,,
Bangalore,"Manya Dental Multispeciality Dental Clinic , Hongasandra","Manya Dental,Ground Floor, Sy.no: 240, 2, Begur Rd, near St Francis ICSE School, Amalodbhava Nagar, Begur, Bengaluru, Karnataka 560068",Dr. Yamini Korlepara,6366011704,manyadental.hongasandra@gmail.com,Completed,,,,,,,,,,,,,
Bangalore,"Manya Dental Multispeciality Dental Clinic- Narayana, Chandapura.				","1st Floor, 425/426, Chandapura - Anekal Rd, near Surya City, above Pizza hut, Suryanagar Phase I, Suryanagar, Iggalur, Bengaluru, Karnataka 560081",Dr. Yamini Korlepara,7022253478, md.nh.chandapura@gmail.com,Completed,,,,,,,,,,,,,
Bangalore,"Manya Dental Multispeciality Dental Clinic- Narayana, Jayanagar","1st Floor, Uday House, opposite Jain temple, 4th T Block East, 4th Block, Jayanagar, Bengaluru, Karnataka 56001",Dr. Yamini Korlepara,7022253478,md.nh.jayanagar@gmail.com,Completed,,,,,,,,,,,,,
Bangalore,"Manya Dental Multispeciality Dental Clinic- Narayana, Singasandra.","2nd Floor, 36, 37, Manipal County Rd, above Reliance Fresh, opp. Aratt Royal Citadel, SRK Paradise Layout, Wellington Paradise, Singasandra, Bengaluru, Karnataka 560068",Dr. Yamini Korlepara,7022253478, md.nh.singasandra@gmail.com,Completed,,,,,,,,,,,,,
